Title,Description,Latitude,Longitude
RIVIERA4_PCO31,RIVIERA 4,5.32831,-3.94826
RIVIERA4_PCO32,RIVIERA 4,5.324821,-3.95179
RIVIERA4_PCO33,RIVIERA 4,5.326679,-3.9525
RIVIERA4_PCO34,RIVIERA 4,5.326766,-3.93615
RIVIERA4_PCO01,RIVIERA 4,5.327756,-3.93337
RIVIERA4_PCO02,RIVIERA 4,5.33096,-3.93999
RIVIERA4_PCO03,RIVIERA 4,5.328531,-3.93181
RIVIERA4_PCO04,RIVIERA 4,5.328205,-3.95941
RIVIERA4_PCO05,RIVIERA 4,5.329473,-3.95925
RIVIERA4_PCO06,RIVIERA 4,5.329473,-3.95925
RIVIERA4_PCO07,RIVIERA 4,5.329473,-3.95925
RIVIERA4_PCO08,RIVIERA 4,5.364191,-3.94351
RIVIERA4_PCO09,RIVIERA 4,5.365718,-3.94255
RIVIERA4_PCO10,RIVIERA 4,5.362719,-3.94354
RIVIERA4_PCO111,RIVIERA 4,5.361106,-3.94198
RIVIERA4_PCO112,RIVIERA 4,5.36829,-3.94229
RIVIERA4_PCO113,RIVIERA 4,5.366929,-3.94317
RIVIERA4_PCO114,RIVIERA 4,5.367049,-3.94156
RIVIERA4_PCO15,RIVIERA 4,5.365718,-3.94255
RIVIERA4_PCO16,RIVIERA 4,5.409167,-3.9741
ARCADE_PCO01,ARCADE,5.41002,-3.97351
ARCADE_PCO02,ARCADE,5.413334,-3.97172
ARCADE_PCO03,ARCADE,5.409167,-3.9741
ARCADE_PCO01,ARCADE,5.41002,-3.97351
ARCADE_PCO02,ARCADE,5.413334,-3.97172
ARCADE_PCO03,ARCADE,5.4131,-3.9768
ARCADE_PCO04,ARCADE,5.410512,-3.97511
ARCADE_PCO05,ARCADE,5.413155,-3.97661
ARCADE_PCO06,ARCADE,5.414771,-3.97787
ARCADE_PCO07,ARCADE,5.413161,-3.97738
ARCADE_PCO08,ARCADE,5.4146,-3.9796
ARCADE_PCO41,ARCADE,5.4147,-3.9806
ARCADE_PCO42,ARCADE,5.403283,-3.98523
ARCADE_PCO09,ARCADE,5.40586,-3.97839
ARCADE_PCO10,ARCADE,5.4032,-3.9762
ARCADE_PCO11,ARCADE,5.3864,-3.9536
ARCADE_PCO13,ARCADE,5.385008,-3.95264
ARCADE_PCO14,ARCADE,5.3853,-3.9509
ARCADE_PCO15,ARCADE,5.389244,-3.95156
ARCADE_PCO16,ARCADE,5.390295,-3.95818
ARCADE_PCO43,ARCADE,5.387,-3.9545
ARCADE_PCO44,ARCADE,5.3801,-3.9517
ARCADE_PCO45,ARCADE,5.3817,-3.9548
ARCADE_PCO46,ARCADE,5.3912,-3.9682
ARCADE_PCO17,ARCADE,5.3912,-3.9684
ARCADE_PCO18,ARCADE,5.386571,-3.96944
ARCADE_PCO20,ARCADE,5.401614,-3.95604
ARCADE_PCO21,ARCADE,5.402,-3.9611
ARCADE_PCO22,ARCADE,5.399061,-3.96524
ARCADE_PCO23,ARCADE,5.3991,-3.9597
ARCADE_PCO24,ARCADE,5.4004,-3.971
ARCADE_PCO25,ARCADE,5.4004,-3.9735
ARCADE_PCO26,ARCADE,5.4089,-3.9769
ARCADE_PCO29,ARCADE,5.4099,-3.9625
ARCADE_PCO33,ARCADE,5.4041,-3.9623
ARCADE_PCO34,ARCADE,5.4036,-3.9605
ARCADE_PCO36,ARCADE,5.3958,-3.9694
ARCADE_PCO37,ARCADE,5.3849,-3.9529
ARCADE_PCO47,ARCADE,5.3853,-3.9505
ARCADE_PCO48,ARCADE,5.3884,-3.9541
ARCADE_PCO49,ARCADE,5.3898,-3.9519
ARCADE_PCO50,ARCADE,5.404612,-3.98523
DJIBI_PCO01,DJIBI,5.405375,-3.98503
DJIBI_PCO02,DJIBI,5.406607,-3.98572
DJIBI_PCO03,DJIBI,5.408305,-3.98685
DJIBI_PCO04,DJIBI,5.404378,-3.98341
DJIBI_PCO05,DJIBI,5.403978,-3.98258
DJIBI_PCO06,DJIBI,5.405977,-3.98383
DJIBI_PCO07,DJIBI,5.4058,-3.9826
DJIBI_PCO08,DJIBI,5.408812,-3.98475
DJIBI_PCO09,DJIBI,5.410655,-3.9857
DJIBI_PCO10,DJIBI,5.412261,-3.98406
DJIBI_PCO11,DJIBI,5.410921,-3.98592
DJIBI_PCO12,DJIBI,5.4025,-3.9813
DJIBI_PCO13,DJIBI,5.4023,-3.9834
DJIBI_PCO14,DJIBI,5.401075,-3.98298
DJIBI_PCO15,DJIBI,5.4,-3.983
DJIBI_PCO16,DJIBI,5.403524,-3.98067
DJIBI_PCO17,DJIBI,5.4034,-3.9789
DJIBI_PCO18,DJIBI,5.4034,-3.9789
