pco_id;sro;localisation;lat;lon;geom;address
ABATTA_PCO37;ABATTA;ABATTA;5.328277;-3.91587;5.32815,-3.91852;Abatta, Bingerville, Abidjan, Côte d’Ivoire
ABATTA_PCO38;ABATTA;ABATTA;5.328919;-3.91707;5.328277,-3.915865;Abatta, Bingerville, Abidjan, Côte d’Ivoire
ABATTA_PCO39;ABATTA;ABATTA;5.328229;-3.91696;5.328919,-3.917071;Abatta, Bingerville, Abidjan, Côte d’Ivoire
ABATTA_PCO40;ABATTA;ABATTA;5.335932;-3.95245;5.328229,-3.916955;Abatta, Bingerville, Abidjan, Côte d’Ivoire
RIVIERA4_PCO11;RIVIERA 4;RIVIERA 4;5.359005;-3.95375;5.335932,-3.952448;Rue E42, Riviera 4, Riviéra 4, Cocody, Abidjan, Côte d’Ivoire
RIVIERA4_PCO12;RIVIERA 4;RIVIERA 4 non loin SRO;5.338613;-3.96082;5.359005,-3.95375;Riviera 3, Riviéra 3, Cocody, Abidjan, Côte d’Ivoire
RIVIERA4_PCO13;RIVIERA 4;RIVIERA 4;5.335625;-3.95757;5.338613,-3.960822;Riviera 4, Riviéra 4, Cocody, Abidjan, Côte d’Ivoire
RIVIERA4_PCO14;RIVIERA 4;En face de la Residence LIMANIYA;5.341514;-3.95648;5.335625,-3.957573;Rue E75, Riviera 4, Riviéra 4, Cocody, Abidjan, Côte d’Ivoire
RIVIERA4_PCO21;RIVIERA 4;RIVIERA IV BEVERLY HILL derriere la DT MOOV ( base Americaine);5.356706;-3.95676;5.341514,-3.956477;Riviera 4, Riviéra 4, Cocody, Abidjan, Côte d’Ivoire
RIVIERA4_PCO22;RIVIERA 4;derriere la DT MOOV base Americaine;5.341234;-3.95375;5.356706,-3.95676;Rue E158, Riviera 3, Riviéra 3, Cocody, Abidjan, Côte d’Ivoire
RIVIERA4_PCO23;RIVIERA 4;derriere la DT MOOV base Americaine;5.340478;-3.95247;5.341234,-3.95375;Rue E75, Riviera 4, Riviéra 4, Cocody, Abidjan, Côte d’Ivoire
RIVIERA4_PCO24;RIVIERA 4;derriere la DT MOOV base Americaine;5.338347;-3.95221;5.340478,-3.952465;Boulevard Arsène Usher Assouan, Riviera 4, Riviéra 4, Cocody, Abidjan, Côte d’Ivoire
RIVIERA4_PCO91;RIVIERA 4;Riviera 4 carrefour AFFI;5.33984;-3.9506;5.338347,-3.952212;Rue E46, Riviera 4, Riviéra 4, Cocody, Abidjan, Côte d’Ivoire
RIVIERA4_PCO92;RIVIERA 4;Riviera 4 carrefour AFFI;5.341633;-3.95247;5.33984,-3.950603;Rue E131, Riviera 4, Riviéra 4, Cocody, Abidjan, Côte d’Ivoire
RIVIERA4_PCO93;RIVIERA 4;Brandon Macain;5.341322;-3.95257;5.341633,-3.952465;Brandon et Mcain, Boulevard Arsène Usher Assouan, Riviera 4, Riviéra 4, Cocody, Abidjan, Côte d’Ivoire
RIVIERA4_PCO94;RIVIERA 4;RIVIERA 4;5.368442;-3.94196;5.341322,-3.952567;Riviera 4, Riviéra 4, Cocody, Abidjan, Côte d’Ivoire
RIVIERA4_PCO51;RIVIERA 4;COCODY AKOUEDO ATCI;5.363136;-3.94278;5.368442,-3.941957;Riviéra 3, Cocody, Abidjan, Côte d’Ivoire
RIVIERA4_PCO52;RIVIERA 4;Vers le feu du nouveau Camp;5.366384;-3.94469;5.363136,-3.942781;Route G50, Triangle, Riviéra 3, Cocody, Abidjan, Côte d’Ivoire
RIVIERA4_PCO53;RIVIERA 4;Vers le feu du nouveau Camp;5.336;-3.9745;5.366384,-3.944687;Les Palmeraies, Palmeraie, Cocody, Abidjan, Côte d’Ivoire
RIVIERA4_PCO54;RIVIERA 4;RIVIERA 4;5.328202;-3.95944;5.336,-3.9745;Rue D30, Riviéra 2, Cocody, Abidjan, Côte d’Ivoire
RIVIERA4_PCO61;RIVIERA 4;Cite flamboyant sol beni;5.330689;-3.95918;5.328202,-3.959436;Golf Laguna, Riviéra 4, Cocody, Abidjan, Côte d’Ivoire
RIVIERA4_PCO62;RIVIERA 4;Cite flamboyant sol beni;5.326246;-3.9571;5.330689,-3.95918;Golf Laguna, Riviéra 4, Cocody, Abidjan, Côte d’Ivoire
RIVIERA4_PCO63;RIVIERA 4;Quartier sol beni a cote de l ecole;5.326978;-3.959;5.326246,-3.9571;Rue E99, M'pouto, M’pouto, Cocody, Abidjan, Côte d’Ivoire
RIVIERA4_PCO64;RIVIERA 4;Quartier sol beni direction de la gare STL;5.326978;-3.959;5.326978,-3.959002;Rue E8, M'pouto, M’pouto, Cocody, Abidjan, Côte d’Ivoire
RIVIERA4_PCO71;RIVIERA 4;En face de la Cite VERDOYANTE;5.334622;-3.94916;5.326978,-3.959002;Rue E8, M'pouto, M’pouto, Cocody, Abidjan, Côte d’Ivoire
RIVIERA4_PCO72;RIVIERA 4;Cite Blanche;5.330647;-3.95072;5.334622,-3.949158;Riviera 4, Riviéra 4, Cocody, Abidjan, Côte d’Ivoire
RIVIERA4_PCO73;RIVIERA 4;CIAD vers le rompoint de la cite verdoyante;5.337422;-3.94673;5.330647,-3.950721;Riviera 4, Riviéra 4, Cocody, Abidjan, Côte d’Ivoire
RIVIERA4_PCO74;RIVIERA 4;Cite verdoyante;5.342123;-3.9492;5.337422,-3.946728;Riviera 4, Riviéra 4, Cocody, Abidjan, Côte d’Ivoire
RIVIERA4_PCO101;RIVIERA 4;Cite SYNACASI;5.344334;-3.94829;5.342123,-3.949202;Riviera 4, Riviéra 4, Cocody, Abidjan, Côte d’Ivoire
RIVIERA4_PCO102;RIVIERA 4;Cite SYNACASI 1;5.346087;-3.94972;5.344334,-3.948287;Avenue Kinkeni, Cité SynacassCI 1, Riviéra 4, Cocody, Abidjan, Côte d’Ivoire
RIVIERA4_PCO103;RIVIERA 4;Cite SYNACASI;5.348518;-3.95309;5.346087,-3.949723;École Jacques Prévert, Route G 11, Riviéra 3, Cocody, Abidjan, Côte d’Ivoire
RIVIERA4_PCO104;RIVIERA 4;RIVIERA 3 cite COPRIM;5.326282;-3.94569;5.348518,-3.953085;Saveur des Iles, Boulevard Arsène Usher Assouan, Riviera 3, Riviéra 3, Cocody, Abidjan, Côte d’Ivoire
RIVIERA4_PCO41;RIVIERA 4;M BADON;5.330855;-3.94004;5.326282,-3.945688;Riviera 4, Riviéra 4, Cocody, Abidjan, Côte d’Ivoire
RIVIERA4_PCO42;RIVIERA 4;M BADON EN FACE DU CIMETIERE EN FACE DE LA RESIDENCE DE FEU AMADOU VICTOR;5.331762;-3.94514;5.330855,-3.940038;Rue Antenne/Rue F33, Riviera 6, Riviéra 6, Cocody, Abidjan, Côte d’Ivoire
RIVIERA4_PCO43;RIVIERA 4;M BADON Ambassade De Chine;5.330712;-3.94868;5.331762,-3.945144;Riviera 6, Riviéra 6, Cocody, Abidjan, Côte d’Ivoire
RIVIERA4_PCO44;RIVIERA 4;Cite WALL CITY;5.345625;-3.96695;5.330712,-3.948678;Riviera 4, Riviéra 4, Cocody, Abidjan, Côte d’Ivoire
RIVIERA4_PCO31;RIVIERA 4;RIV4 vers le rompoint de CIAD;5.32831;-3.94826;5.345625,-3.966952;Rue D83, Riviéra 2, Cocody, Abidjan, Côte d’Ivoire
RIVIERA4_PCO32;RIVIERA 4;CIAD en face de BENI;5.324821;-3.95179;5.32831,-3.94826;Riviera 4, Riviéra 4, Cocody, Abidjan, Côte d’Ivoire
RIVIERA4_PCO33;RIVIERA 4;CIAD apres le site de PORTEO dans le quartier;5.326679;-3.9525;5.324821,-3.951791;Riviera 4, Riviéra 4, Cocody, Abidjan, Côte d’Ivoire
RIVIERA4_PCO34;RIVIERA 4;CIAD apres le site de PORTEO;5.326766;-3.93615;5.326679,-3.9525;Riviera 4, Riviéra 4, Cocody, Abidjan, Côte d’Ivoire
RIVIERA4_PCO01;RIVIERA 4;MBadon vers le cimetiere;5.327756;-3.93337;5.326766,-3.936149;Rue F24, M'Badon, M’Badon, Cocody, Abidjan, Côte d’Ivoire
RIVIERA4_PCO02;RIVIERA 4;En de l eglise Harriste;5.33096;-3.93999;5.327756,-3.933366;Rue F49, M'Badon, M’Badon, Cocody, Abidjan, Côte d’Ivoire
RIVIERA4_PCO03;RIVIERA 4;A 200m de l embassade de chine;5.328531;-3.93181;5.33096,-3.939988;Rue F52, Riviera 6, Riviéra 6, Cocody, Abidjan, Côte d’Ivoire
RIVIERA4_PCO04;RIVIERA 4;L arret de SOTRA M Badon;5.328205;-3.95941;5.328531,-3.931813;Rue F12, M'Badon, M’Badon, Cocody, Abidjan, Côte d’Ivoire
RIVIERA4_PCO05;RIVIERA 4;riviera 4;5.329473;-3.95925;5.328205,-3.959412;Golf Laguna, Riviéra 4, Cocody, Abidjan, Côte d’Ivoire
RIVIERA4_PCO06;RIVIERA 4;riviera 4;5.329473;-3.95925;5.329473,-3.95925;Golf Laguna, Riviéra 4, Cocody, Abidjan, Côte d’Ivoire
